degree,coffee,spectral,gll_spectral
1,6621,3305,3977
2,112008,31224,15114
3,1305281,169729,42881
4,9188852,671352,103292
5,45922449,2125209,220989
6,180096848,5721136,431558
7,590213033,13625769,783689
8,1684808076,29491104,1341336
10,10094311064,111278664,3418274
12,44917297508,339613864,7561364
14,161583674592,888854592,15052062
16,495534220028,2070711696,27623408
20,3291485938644,8700187224,77612844
24,15719087239532,28615052032,183052232
28,59535464978756,79134772104,381113156
32,189878444914908,192315381744,722828064
